dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
Cars,0.0,1,1,61.27347344857604,0.0
EuroSAT,0.0,1,1,80.77777777777779,0.0
GTSRB,0.0,1,1,51.456848772763266,0.0
ImageNet100,0.0,1,1,73.92,99.97979797979798
PETS,0.0,1,1,87.95312074134641,0.0
SUN397,0.0,1,1,25.32493702770781,0.0
Cars,0.1,1,1,60.0049745056585,0.0
EuroSAT,0.1,1,1,76.62962962962962,0.0
GTSRB,0.1,1,1,49.65162311955661,0.0
ImageNet100,0.1,1,1,73.16,100.0
PETS,0.1,1,1,87.10820387026438,0.0
SUN397,0.1,1,1,25.12846347607053,0.0
Cars,0.2,1,1,57.480412883969656,0.0
EuroSAT,0.2,1,1,65.51851851851852,0.0
GTSRB,0.2,1,1,46.87252573238322,0.0
ImageNet100,0.2,1,1,71.36,99.85858585858585
PETS,0.2,1,1,85.82720087217226,0.0
SUN397,0.2,1,1,24.675062972292192,0.0
Cars,0.3,1,1,54.18480288521328,0.0
EuroSAT,0.3,1,1,55.00000000000001,0.0
GTSRB,0.3,1,1,43.222486144101346,0.0
ImageNet100,0.3,1,1,70.04,96.3030303030303
PETS,0.3,1,1,84.38266557645136,0.0
SUN397,0.3,1,1,23.702770780856422,0.0
Cars,0.4,1,1,50.13058077353563,0.0
EuroSAT,0.4,1,1,41.333333333333336,0.0
GTSRB,0.4,1,1,39.7624703087886,0.0
ImageNet100,0.4,1,1,68.30000000000001,71.33333333333334
PETS,0.4,1,1,81.33006268738076,0.0
SUN397,0.4,1,1,22.54911838790932,0.0
Cars,0.5,1,1,44.14873771918916,0.0
EuroSAT,0.5,1,1,30.925925925925924,0.0
GTSRB,0.5,1,1,37.3396674584323,0.0
ImageNet100,0.5,1,1,67.22,16.161616161616163
PETS,0.5,1,1,77.45979831016626,0.0
SUN397,0.5,1,1,20.926952141057935,0.0
Cars,0.6,1,1,38.75139907971645,0.0
EuroSAT,0.6,1,1,26.185185185185183,0.0
GTSRB,0.6,1,1,34.36262866191607,0.0
ImageNet100,0.6,1,1,65.5,1.2929292929292928
PETS,0.6,1,1,71.81793404197329,0.0
SUN397,0.6,1,1,18.92191435768262,0.0
Cars,0.7,1,1,31.612983459768685,0.0
EuroSAT,0.7,1,1,24.555555555555557,0.0
GTSRB,0.7,1,1,31.14806017418844,0.0
ImageNet100,0.7,1,1,63.800000000000004,0.24242424242424243
PETS,0.7,1,1,63.85936222403925,0.0
SUN397,0.7,1,1,16.297229219143578,0.0
Cars,0.8,1,1,24.61136674542967,0.0
EuroSAT,0.8,1,1,24.74074074074074,0.0
GTSRB,0.8,1,1,27.070467141726052,0.0
ImageNet100,0.8,1,1,61.63999999999999,0.1414141414141414
PETS,0.8,1,1,54.31997819569365,0.0
SUN397,0.8,1,1,13.123425692695214,0.0
Cars,0.9,1,1,17.000373087924388,0.0
EuroSAT,0.9,1,1,25.333333333333336,0.0
GTSRB,0.9,1,1,22.779097387173397,0.0
ImageNet100,0.9,1,1,59.14,0.1414141414141414
PETS,0.9,1,1,43.58135731807032,0.0
SUN397,0.9,1,1,9.66750629722922,0.0
Cars,1.0,1,1,9.886829996269121,0.0
EuroSAT,1.0,1,1,26.962962962962962,0.0
GTSRB,1.0,1,1,18.448139350752175,0.0
ImageNet100,1.0,1,1,56.02,0.1616161616161616
PETS,1.0,1,1,32.29762878168438,0.0
SUN397,1.0,1,1,6.559193954659949,0.0
Cars,0.0,1,2,61.08692948638229,0.0
EuroSAT,0.0,1,2,82.33333333333334,0.0
GTSRB,0.0,1,2,51.66270783847982,0.0
ImageNet100,0.0,1,2,73.96000000000001,99.91919191919192
PETS,0.0,1,2,87.78958844371763,0.0
SUN397,0.0,1,2,25.259445843828715,0.0
Cars,0.1,1,2,60.04228329809725,0.0
EuroSAT,0.1,1,2,78.51851851851852,0.0
GTSRB,0.1,1,2,49.34283452098179,0.0
ImageNet100,0.1,1,2,73.0,99.91919191919192
PETS,0.1,1,2,87.08094848732625,0.0
SUN397,0.1,1,2,25.18387909319899,0.0
Cars,0.2,1,2,57.60477552543216,0.0
EuroSAT,0.2,1,2,67.11111111111111,0.0
GTSRB,0.2,1,2,46.81710213776722,0.0
ImageNet100,0.2,1,2,71.39999999999999,99.77777777777777
PETS,0.2,1,2,85.88171163804851,0.0
SUN397,0.2,1,2,24.68513853904282,0.0
Cars,0.3,1,2,54.25942047009078,0.0
EuroSAT,0.3,1,2,55.96296296296296,0.0
GTSRB,0.3,1,2,43.42042755344418,0.0
ImageNet100,0.3,1,2,69.88,95.8989898989899
PETS,0.3,1,2,84.19187789588443,0.0
SUN397,0.3,1,2,23.803526448362717,0.0
Cars,0.4,1,2,50.08083571695063,0.0
EuroSAT,0.4,1,2,41.888888888888886,0.0
GTSRB,0.4,1,2,39.84956452889944,0.0
ImageNet100,0.4,1,2,68.60000000000001,54.96969696969697
PETS,0.4,1,2,81.43908421913328,0.0
SUN397,0.4,1,2,22.49874055415617,0.0
Cars,0.5,1,2,44.67106081333168,0.0
EuroSAT,0.5,1,2,31.555555555555554,0.0
GTSRB,0.5,1,2,37.323832145684875,0.0
ImageNet100,0.5,1,2,67.08,9.93939393939394
PETS,0.5,1,2,77.15998909784683,0.0
SUN397,0.5,1,2,20.886649874055415,0.0
Cars,0.6,1,2,38.72652655142395,0.0
EuroSAT,0.6,1,2,26.51851851851852,0.0
GTSRB,0.6,1,2,34.528899445764054,0.0
ImageNet100,0.6,1,2,65.75999999999999,2.202020202020202
PETS,0.6,1,2,71.545380212592,0.0
SUN397,0.6,1,2,18.916876574307302,0.0
Cars,0.7,1,2,31.9860713841562,0.0
EuroSAT,0.7,1,2,25.074074074074076,0.0
GTSRB,0.7,1,2,31.417260490894694,0.0
ImageNet100,0.7,1,2,63.54,1.3131313131313131
PETS,0.7,1,2,63.66857454347233,0.0
SUN397,0.7,1,2,16.35264483627204,0.0
Cars,0.8,1,2,24.748165651038427,0.0
EuroSAT,0.8,1,2,25.14814814814815,0.0
GTSRB,0.8,1,2,27.387173396674587,0.0
ImageNet100,0.8,1,2,61.94,0.9898989898989898
PETS,0.8,1,2,54.23821204687926,0.0
SUN397,0.8,1,2,13.224181360201511,0.0
Cars,0.9,1,2,17.186917050118144,0.0
EuroSAT,0.9,1,2,25.74074074074074,0.0
GTSRB,0.9,1,2,23.056215360253365,0.0
ImageNet100,0.9,1,2,58.879999999999995,0.8888888888888888
PETS,0.9,1,2,42.981738893431455,0.0
SUN397,0.9,1,2,9.788413098236775,0.0
Cars,1.0,1,2,9.849521203830369,0.0
EuroSAT,1.0,1,2,26.703703703703702,0.0
GTSRB,1.0,1,2,18.844022169437846,0.0
ImageNet100,1.0,1,2,55.82,0.6666666666666667
PETS,1.0,1,2,32.079585718179345,0.0
SUN397,1.0,1,2,6.599496221662468,0.0
Cars,0.0,1,3,60.900385524188536,0.0
EuroSAT,0.0,1,3,81.62962962962963,0.0
GTSRB,0.0,1,3,52.92161520190024,0.0
ImageNet100,0.0,1,3,73.22,100.0
PETS,0.0,1,3,87.54428999727446,0.0
SUN397,0.0,1,3,25.51133501259446,0.0
Cars,0.1,1,3,59.756249222733494,0.0
EuroSAT,0.1,1,3,78.74074074074075,0.0
GTSRB,0.1,1,3,51.15597783056215,0.0
ImageNet100,0.1,1,3,72.24000000000001,99.97979797979798
PETS,0.1,1,3,86.78113927500681,0.0
SUN397,0.1,1,3,25.345088161209066,0.0
Cars,0.2,1,3,57.18194254445964,0.0
EuroSAT,0.2,1,3,67.25925925925927,0.0
GTSRB,0.2,1,3,48.353127474267616,0.0
ImageNet100,0.2,1,3,70.52000000000001,99.15151515151514
PETS,0.2,1,3,85.58190242572908,0.0
SUN397,0.2,1,3,24.79596977329975,0.0
Cars,0.3,1,3,54.03556771545828,0.0
EuroSAT,0.3,1,3,56.18518518518518,0.0
GTSRB,0.3,1,3,44.88519398258116,0.0
ImageNet100,0.3,1,3,68.94,88.24242424242425
PETS,0.3,1,3,83.9738348323794,0.0
SUN397,0.3,1,3,23.91939546599496,0.0
Cars,0.4,1,3,49.96890933963438,0.0
EuroSAT,0.4,1,3,42.25925925925926,0.0
GTSRB,0.4,1,3,41.1243072050673,0.0
ImageNet100,0.4,1,3,67.2,46.44444444444444
PETS,0.4,1,3,80.94848732624693,0.0
SUN397,0.4,1,3,22.750629722921914,0.0
Cars,0.5,1,3,44.67106081333168,0.0
EuroSAT,0.5,1,3,32.407407407407405,0.0
GTSRB,0.5,1,3,38.36104513064133,0.0
ImageNet100,0.5,1,3,66.22,12.444444444444445
PETS,0.5,1,3,76.9692014172799,0.0
SUN397,0.5,1,3,21.10831234256927,0.0
Cars,0.6,1,3,39.12448700410397,0.0
EuroSAT,0.6,1,3,27.481481481481477,0.0
GTSRB,0.6,1,3,35.447347585114805,0.0
ImageNet100,0.6,1,3,65.06,3.797979797979798
PETS,0.6,1,3,71.30008176614882,0.0
SUN397,0.6,1,3,19.10831234256927,0.0
Cars,0.7,1,3,32.04825270488745,0.0
EuroSAT,0.7,1,3,25.0,0.0
GTSRB,0.7,1,3,31.86856690419636,0.0
ImageNet100,0.7,1,3,63.339999999999996,2.0606060606060606
PETS,0.7,1,3,63.96838375579177,0.0
SUN397,0.7,1,3,16.579345088161208,0.0
Cars,0.8,1,3,24.685984330307175,0.0
EuroSAT,0.8,1,3,24.703703703703702,0.0
GTSRB,0.8,1,3,27.6326207442597,0.0
ImageNet100,0.8,1,3,61.12,1.6161616161616161
PETS,0.8,1,3,54.04742436631235,0.0
SUN397,0.8,1,3,13.365239294710326,0.0
Cars,0.9,1,3,17.199353314264396,0.0
EuroSAT,0.9,1,3,25.222222222222225,0.0
GTSRB,0.9,1,3,23.198733174980205,0.0
ImageNet100,0.9,1,3,58.24,1.6565656565656566
PETS,0.9,1,3,43.25429272281276,0.0
SUN397,0.9,1,3,9.924433249370278,0.0
Cars,1.0,1,3,9.86195746797662,0.0
EuroSAT,1.0,1,3,26.77777777777778,0.0
GTSRB,1.0,1,3,18.8756927949327,0.0
ImageNet100,1.0,1,3,55.2,1.4343434343434345
PETS,1.0,1,3,32.05233033524121,0.0
SUN397,1.0,1,3,6.750629722921915,0.0
