dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
CIFAR100,0.0,1,1,74.42999999999999,99.96969696969697
Cars,0.0,1,1,61.54707125979356,0.0
EuroSAT,0.0,1,1,80.48148148148148,0.0
GTSRB,0.0,1,1,51.456848772763266,0.0
PETS,0.0,1,1,87.4897792313982,0.0
SUN397,0.0,1,1,25.229219143576824,0.0
CIFAR100,0.1,1,1,71.25,99.52525252525253
Cars,0.1,1,1,61.770924014426065,0.0
EuroSAT,0.1,1,1,77.66666666666666,0.0
GTSRB,0.1,1,1,49.67537608867775,0.0
PETS,0.1,1,1,87.4080130825838,0.0
SUN397,0.1,1,1,25.03274559193955,0.0
CIFAR100,0.2,1,1,66.73,94.58585858585859
Cars,0.2,1,1,59.81843054346474,0.0
EuroSAT,0.2,1,1,64.4074074074074,0.0
GTSRB,0.2,1,1,46.37371338083927,0.0
PETS,0.2,1,1,87.02643772145,0.0
SUN397,0.2,1,1,24.09068010075567,0.0
CIFAR100,0.3,1,1,62.51,81.57575757575758
Cars,0.3,1,1,56.05024250715085,0.0
EuroSAT,0.3,1,1,49.25925925925926,0.0
GTSRB,0.3,1,1,43.396674584323044,0.0
PETS,0.3,1,1,84.24638866176069,0.0
SUN397,0.3,1,1,22.937027707808564,0.0
CIFAR100,0.4,1,1,60.08,46.303030303030305
Cars,0.4,1,1,49.81967416987937,0.0
EuroSAT,0.4,1,1,37.111111111111114,0.0
GTSRB,0.4,1,1,40.19794140934284,0.0
PETS,0.4,1,1,80.1035704551649,0.0
SUN397,0.4,1,1,20.987405541561714,0.0
CIFAR100,0.5,1,1,58.940000000000005,9.656565656565656
Cars,0.5,1,1,41.08941673921154,0.0
EuroSAT,0.5,1,1,30.148148148148145,0.0
GTSRB,0.5,1,1,37.12589073634204,0.0
PETS,0.5,1,1,71.95421095666394,0.0
SUN397,0.5,1,1,18.045340050377835,0.0
CIFAR100,0.6,1,1,58.07,1.585858585858586
Cars,0.6,1,1,30.40666583758239,0.0
EuroSAT,0.6,1,1,25.74074074074074,0.0
GTSRB,0.6,1,1,34.31512272367379,0.0
PETS,0.6,1,1,60.3979285908967,0.0
SUN397,0.6,1,1,14.14609571788413,0.0
CIFAR100,0.7,1,1,57.35,0.8282828282828283
Cars,0.7,1,1,19.79853252083074,0.0
EuroSAT,0.7,1,1,23.814814814814813,0.0
GTSRB,0.7,1,1,30.83927157561362,0.0
PETS,0.7,1,1,47.31534478059417,0.0
SUN397,0.7,1,1,10.654911838790932,0.0
CIFAR100,0.8,1,1,56.67,0.7777777777777778
Cars,0.8,1,1,10.881731127969157,0.0
EuroSAT,0.8,1,1,21.814814814814813,0.0
GTSRB,0.8,1,1,27.038796516231194,0.0
PETS,0.8,1,1,36.38593622240393,0.0
SUN397,0.8,1,1,7.919395465994962,0.0
CIFAR100,0.9,1,1,55.58,0.7272727272727273
Cars,0.9,1,1,5.471956224350205,0.0
EuroSAT,0.9,1,1,20.62962962962963,0.0
GTSRB,0.9,1,1,23.847980997624703,0.0
PETS,0.9,1,1,27.93676751158354,0.0
SUN397,0.9,1,1,5.80352644836272,0.0
CIFAR100,1.0,1,1,53.839999999999996,0.6868686868686869
Cars,1.0,1,1,2.8354682253451067,0.0
EuroSAT,1.0,1,1,21.814814814814813,0.0
GTSRB,1.0,1,1,20.791765637371338,0.0
PETS,1.0,1,1,22.37666939220496,0.0
SUN397,1.0,1,1,4.382871536523929,0.0
CIFAR100,0.0,1,2,74.61,99.92929292929293
Cars,0.0,1,2,61.410272354184805,0.0
EuroSAT,0.0,1,2,80.22222222222221,0.0
GTSRB,0.0,1,2,52.16943784639747,0.0
PETS,0.0,1,2,87.76233306077951,0.0
SUN397,0.0,1,2,25.103274559193956,0.0
CIFAR100,0.1,1,2,71.44,98.27272727272728
Cars,0.1,1,2,61.4351448824773,0.0
EuroSAT,0.1,1,2,78.22222222222223,0.0
GTSRB,0.1,1,2,50.46714172604909,0.0
PETS,0.1,1,2,87.4897792313982,0.0
SUN397,0.1,1,2,24.987405541561714,0.0
