dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
Cars,0.0,1,1,61.27347344857604,0.0
EuroSAT,0.0,1,1,80.77777777777779,0.0
GTSRB,0.0,1,1,51.456848772763266,0.0
ImageNet100,0.0,1,1,73.92,99.97979797979798
PETS,0.0,1,1,87.95312074134641,0.0
SUN397,0.0,1,1,25.32493702770781,0.0
Cars,0.1,1,1,60.962566844919785,0.0
EuroSAT,0.1,1,1,77.0,0.0
GTSRB,0.1,1,1,50.24544734758511,0.0
ImageNet100,0.1,1,1,73.48,99.83838383838383
PETS,0.1,1,1,87.4080130825838,0.0
SUN397,0.1,1,1,24.916876574307302,0.0
Cars,0.2,1,1,59.457778883223476,0.0
EuroSAT,0.2,1,1,67.0,0.0
GTSRB,0.2,1,1,48.27395091053048,0.0
ImageNet100,0.2,1,1,72.7,96.74747474747475
PETS,0.2,1,1,86.59035159443991,0.0
SUN397,0.2,1,1,24.49874055415617,0.0
Cars,0.3,1,1,57.878373336649666,0.0
EuroSAT,0.3,1,1,56.777777777777786,0.0
GTSRB,0.3,1,1,45.66112430720507,0.0
ImageNet100,0.3,1,1,71.76,78.94949494949495
PETS,0.3,1,1,85.772690106296,0.0
SUN397,0.3,1,1,24.005037783375315,0.0
Cars,0.4,1,1,55.59010073373959,0.0
EuroSAT,0.4,1,1,48.81481481481482,0.0
GTSRB,0.4,1,1,42.612826603325416,0.0
ImageNet100,0.4,1,1,70.58,39.41414141414141
PETS,0.4,1,1,84.79149632052331,0.0
SUN397,0.4,1,1,23.40050377833753,0.0
Cars,0.5,1,1,53.227210545952,0.0
EuroSAT,0.5,1,1,40.7037037037037,0.0
GTSRB,0.5,1,1,38.94695170229612,0.0
ImageNet100,0.5,1,1,69.19999999999999,10.767676767676768
PETS,0.5,1,1,83.59225947124557,0.0
SUN397,0.5,1,1,22.544080604534006,0.0
Cars,0.6,1,1,50.14301703768188,0.0
EuroSAT,0.6,1,1,34.03703703703704,0.0
GTSRB,0.6,1,1,35.954077593032466,0.0
ImageNet100,0.6,1,1,67.74,2.8282828282828283
PETS,0.6,1,1,81.9024257290815,0.0
SUN397,0.6,1,1,21.85894206549118,0.0
Cars,0.7,1,1,47.083696057704266,0.0
EuroSAT,0.7,1,1,28.40740740740741,0.0
GTSRB,0.7,1,1,33.06413301662708,0.0
ImageNet100,0.7,1,1,65.98,1.2929292929292928
PETS,0.7,1,1,80.78495502861816,0.0
SUN397,0.7,1,1,20.740554156171285,0.0
Cars,0.8,1,1,43.688595945777884,0.0
EuroSAT,0.8,1,1,24.444444444444443,0.0
GTSRB,0.8,1,1,30.673000791765638,0.0
ImageNet100,0.8,1,1,64.3,1.2323232323232323
PETS,0.8,1,1,78.87707822294904,0.0
SUN397,0.8,1,1,19.531486146095716,0.0
Cars,0.9,1,1,40.790946399701525,0.0
EuroSAT,0.9,1,1,21.14814814814815,0.0
GTSRB,0.9,1,1,28.487727632620746,0.0
ImageNet100,0.9,1,1,62.4,1.2121212121212122
PETS,0.9,1,1,77.48705369310439,0.0
SUN397,0.9,1,1,18.01007556675063,0.0
Cars,1.0,1,1,37.18442979728889,0.0
EuroSAT,1.0,1,1,18.962962962962962,0.0
GTSRB,1.0,1,1,26.429136975455265,0.0
ImageNet100,1.0,1,1,59.9,1.4141414141414141
PETS,1.0,1,1,75.7972199509403,0.0
SUN397,1.0,1,1,16.438287153652393,0.0
Cars,0.0,1,2,61.08692948638229,0.0
EuroSAT,0.0,1,2,82.33333333333334,0.0
GTSRB,0.0,1,2,51.66270783847982,0.0
ImageNet100,0.0,1,2,73.96000000000001,99.91919191919192
PETS,0.0,1,2,87.78958844371763,0.0
SUN397,0.0,1,2,25.259445843828715,0.0
Cars,0.1,1,2,60.37806243004601,0.0
EuroSAT,0.1,1,2,79.0,0.0
GTSRB,0.1,1,2,50.15043547110055,0.0
ImageNet100,0.1,1,2,73.44000000000001,99.87878787878788
PETS,0.1,1,2,87.05369310438812,0.0
SUN397,0.1,1,2,24.775818639798487,0.0
Cars,0.2,1,2,59.29610744932222,0.0
EuroSAT,0.2,1,2,68.22222222222221,0.0
GTSRB,0.2,1,2,48.14726840855107,0.0
ImageNet100,0.2,1,2,72.68,98.76767676767678
PETS,0.2,1,2,86.61760697737803,0.0
SUN397,0.2,1,2,24.413098236775816,0.0
Cars,0.3,1,2,57.95299092152717,0.0
EuroSAT,0.3,1,2,57.77777777777777,0.0
GTSRB,0.3,1,2,45.819477434679335,0.0
ImageNet100,0.3,1,2,71.92,90.22222222222223
PETS,0.3,1,2,85.66366857454348,0.0
SUN397,0.3,1,2,23.934508816120907,0.0
Cars,0.4,1,2,55.85126228081084,0.0
EuroSAT,0.4,1,2,49.111111111111114,0.0
GTSRB,0.4,1,2,42.70783847980998,0.0
ImageNet100,0.4,1,2,70.54,58.707070707070706
PETS,0.4,1,2,84.73698555464703,0.0
SUN397,0.4,1,2,23.20403022670025,0.0
Cars,0.5,1,2,53.52568088546201,0.0
EuroSAT,0.5,1,2,41.66666666666667,0.0
GTSRB,0.5,1,2,39.05779889152811,0.0
ImageNet100,0.5,1,2,69.12,22.707070707070706
PETS,0.5,1,2,83.61951485418369,0.0
SUN397,0.5,1,2,22.60453400503778,0.0
Cars,0.6,1,2,50.24250715085189,0.0
EuroSAT,0.6,1,2,34.48148148148148,0.0
GTSRB,0.6,1,2,35.795724465558195,0.0
ImageNet100,0.6,1,2,67.84,7.919191919191919
PETS,0.6,1,2,82.33851185609157,0.0
SUN397,0.6,1,2,21.6272040302267,0.0
Cars,0.7,1,2,46.95933341624176,0.0
EuroSAT,0.7,1,2,28.629629629629626,0.0
GTSRB,0.7,1,2,33.02454473475851,0.0
ImageNet100,0.7,1,2,66.12,4.0
PETS,0.7,1,2,80.89397656037067,0.0
SUN397,0.7,1,2,20.639798488664987,0.0
Cars,0.8,1,2,43.60154209675414,0.0
EuroSAT,0.8,1,2,25.11111111111111,0.0
GTSRB,0.8,1,2,30.44338875692795,0.0
ImageNet100,0.8,1,2,64.53999999999999,2.5858585858585856
PETS,0.8,1,2,79.09512128645407,0.0
SUN397,0.8,1,2,19.450881612090683,0.0
Cars,0.9,1,2,40.803382663847785,0.0
EuroSAT,0.9,1,2,21.333333333333336,0.0
GTSRB,0.9,1,2,28.329374505146475,0.0
ImageNet100,0.9,1,2,62.63999999999999,2.0606060606060606
PETS,0.9,1,2,77.62333060779504,0.0
SUN397,0.9,1,2,17.889168765743076,0.0
Cars,1.0,1,2,37.37097375948265,0.0
EuroSAT,1.0,1,2,19.333333333333332,0.0
GTSRB,1.0,1,2,26.262866191607287,0.0
ImageNet100,1.0,1,2,60.199999999999996,1.8181818181818181
PETS,1.0,1,2,76.20605069501227,0.0
SUN397,1.0,1,2,16.34256926952141,0.0
Cars,0.0,1,3,60.900385524188536,0.0
EuroSAT,0.0,1,3,81.62962962962963,0.0
GTSRB,0.0,1,3,52.92161520190024,0.0
ImageNet100,0.0,1,3,73.22,100.0
PETS,0.0,1,3,87.54428999727446,0.0
SUN397,0.0,1,3,25.51133501259446,0.0
Cars,0.1,1,3,60.65166024126353,0.0
EuroSAT,0.1,1,3,78.88888888888889,0.0
GTSRB,0.1,1,3,51.75771971496437,0.0
ImageNet100,0.1,1,3,72.89999999999999,99.41414141414141
PETS,0.1,1,3,87.18997001907877,0.0
SUN397,0.1,1,3,25.02770780856423,0.0
Cars,0.2,1,3,59.383161298345975,0.0
EuroSAT,0.2,1,3,67.51851851851852,0.0
GTSRB,0.2,1,3,49.53285827395091,0.0
ImageNet100,0.2,1,3,72.5,92.08080808080808
PETS,0.2,1,3,86.61760697737803,0.0
SUN397,0.2,1,3,24.513853904282115,0.0
Cars,0.3,1,3,57.778883223479674,0.0
EuroSAT,0.3,1,3,56.74074074074073,0.0
GTSRB,0.3,1,3,47.062549485352335,0.0
ImageNet100,0.3,1,3,71.2,65.75757575757576
PETS,0.3,1,3,85.52739165985282,0.0
SUN397,0.3,1,3,24.075566750629722,0.0
Cars,0.4,1,3,55.85126228081084,0.0
EuroSAT,0.4,1,3,49.29629629629629,0.0
GTSRB,0.4,1,3,43.87965162311956,0.0
ImageNet100,0.4,1,3,70.1,31.77777777777778
PETS,0.4,1,3,84.84600708639957,0.0
SUN397,0.4,1,3,23.390428211586904,0.0
Cars,0.5,1,3,53.364009451560754,0.0
EuroSAT,0.5,1,3,42.0,0.0
GTSRB,0.5,1,3,40.1187648456057,0.0
ImageNet100,0.5,1,3,68.67999999999999,10.121212121212121
PETS,0.5,1,3,83.51049332243117,0.0
SUN397,0.5,1,3,22.670025188916874,0.0
Cars,0.6,1,3,50.5658500186544,0.0
EuroSAT,0.6,1,3,35.11111111111111,0.0
GTSRB,0.6,1,3,37.149643705463184,0.0
ImageNet100,0.6,1,3,67.25999999999999,3.7575757575757573
PETS,0.6,1,3,81.98419187789588,0.0
SUN397,0.6,1,3,21.89420654911839,0.0
Cars,0.7,1,3,47.50652903867678,0.0
EuroSAT,0.7,1,3,29.333333333333332,0.0
GTSRB,0.7,1,3,33.99841646872525,0.0
ImageNet100,0.7,1,3,65.74,1.9595959595959598
PETS,0.7,1,3,80.89397656037067,0.0
SUN397,0.7,1,3,20.957178841309823,0.0
Cars,0.8,1,3,44.0119388135804,0.0
EuroSAT,0.8,1,3,25.037037037037035,0.0
GTSRB,0.8,1,3,31.425178147268408,0.0
ImageNet100,0.8,1,3,64.1,1.575757575757576
PETS,0.8,1,3,79.42218588171164,0.0
SUN397,0.8,1,3,19.697732997481108,0.0
Cars,0.9,1,3,41.313269493844054,0.0
EuroSAT,0.9,1,3,21.703703703703702,0.0
GTSRB,0.9,1,3,29.05779889152811,0.0
ImageNet100,0.9,1,3,61.94,1.4141414141414141
PETS,0.9,1,3,77.65058599073316,0.0
SUN397,0.9,1,3,18.211586901763223,0.0
Cars,1.0,1,3,38.06740455167268,0.0
EuroSAT,1.0,1,3,19.555555555555557,0.0
GTSRB,1.0,1,3,27.046714172604908,0.0
ImageNet100,1.0,1,3,59.64,1.3737373737373737
PETS,1.0,1,3,75.98800763150723,0.0
SUN397,1.0,1,3,16.629722921914357,0.0
