dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
CIFAR100,0.0,1,1,74.42999999999999,99.96969696969697
Cars,0.0,1,1,61.54707125979356,0.0
EuroSAT,0.0,1,1,80.48148148148148,0.0
GTSRB,0.0,1,1,51.456848772763266,0.0
PETS,0.0,1,1,87.4897792313982,0.0
SUN397,0.0,1,1,25.229219143576824,0.0
CIFAR100,0.1,1,1,74.09,99.48484848484848
Cars,0.1,1,1,61.50976246735481,0.0
EuroSAT,0.1,1,1,77.11111111111111,0.0
GTSRB,0.1,1,1,50.28503562945368,0.0
PETS,0.1,1,1,87.35350231670755,0.0
SUN397,0.1,1,1,24.740554156171285,0.0
CIFAR100,0.2,1,1,73.09,93.02020202020202
Cars,0.2,1,1,60.20395473199851,0.0
EuroSAT,0.2,1,1,67.33333333333333,0.0
GTSRB,0.2,1,1,48.74109263657957,0.0
PETS,0.2,1,1,86.42681929681112,0.0
SUN397,0.2,1,1,24.211586901763223,0.0
CIFAR100,0.3,1,1,71.06,74.96969696969697
Cars,0.3,1,1,58.47531401566969,0.0
EuroSAT,0.3,1,1,56.96296296296296,0.0
GTSRB,0.3,1,1,46.53206650831354,0.0
PETS,0.3,1,1,85.66366857454348,0.0
SUN397,0.3,1,1,23.61712846347607,0.0
CIFAR100,0.4,1,1,68.0,41.7979797979798
Cars,0.4,1,1,56.58500186543962,0.0
EuroSAT,0.4,1,1,48.77777777777778,0.0
GTSRB,0.4,1,1,43.99841646872526,0.0
PETS,0.4,1,1,84.90051785227583,0.0
SUN397,0.4,1,1,23.05793450881612,0.0
CIFAR100,0.5,1,1,64.92,19.353535353535353
Cars,0.5,1,1,54.07287650789703,0.0
EuroSAT,0.5,1,1,41.51851851851852,0.0
GTSRB,0.5,1,1,40.26128266033254,0.0
PETS,0.5,1,1,83.56500408830743,0.0
SUN397,0.5,1,1,22.43324937027708,0.0
CIFAR100,0.6,1,1,60.56,10.05050505050505
Cars,0.6,1,1,50.97624673548066,0.0
EuroSAT,0.6,1,1,33.88888888888889,0.0
GTSRB,0.6,1,1,36.951702296120345,0.0
PETS,0.6,1,1,82.06595802671028,0.0
SUN397,0.6,1,1,21.521410579345087,0.0
CIFAR100,0.7,1,1,56.52,5.717171717171717
Cars,0.7,1,1,47.79256311404054,0.0
EuroSAT,0.7,1,1,28.666666666666668,0.0
GTSRB,0.7,1,1,34.1409342834521,0.0
PETS,0.7,1,1,80.7304442627419,0.0
SUN397,0.7,1,1,20.6095717884131,0.0
CIFAR100,0.8,1,1,52.15,3.727272727272727
Cars,0.8,1,1,44.136301455042904,0.0
EuroSAT,0.8,1,1,24.333333333333336,0.0
GTSRB,0.8,1,1,31.63895486935867,0.0
PETS,0.8,1,1,79.25865358408286,0.0
SUN397,0.8,1,1,19.279596977329973,0.0
CIFAR100,0.9,1,1,48.47,2.4343434343434343
Cars,0.9,1,1,40.86556398457903,0.0
EuroSAT,0.9,1,1,21.22222222222222,0.0
GTSRB,0.9,1,1,29.326999208234362,0.0
PETS,0.9,1,1,77.56881984191878,0.0
SUN397,0.9,1,1,17.838790931989926,0.0
CIFAR100,1.0,1,1,44.28,1.6565656565656566
Cars,1.0,1,1,37.17199353314265,0.0
EuroSAT,1.0,1,1,19.22222222222222,0.0
GTSRB,1.0,1,1,27.02296120348377,0.0
PETS,1.0,1,1,75.9607522485691,0.0
SUN397,1.0,1,1,16.377833753148614,0.0
CIFAR100,0.0,1,2,74.61,99.92929292929293
Cars,0.0,1,2,61.410272354184805,0.0
EuroSAT,0.0,1,2,80.22222222222221,0.0
GTSRB,0.0,1,2,52.16943784639747,0.0
PETS,0.0,1,2,87.76233306077951,0.0
SUN397,0.0,1,2,25.103274559193956,0.0
CIFAR100,0.1,1,2,74.2,99.22222222222223
Cars,0.1,1,2,61.39783609003855,0.0
EuroSAT,0.1,1,2,77.81481481481481,0.0
GTSRB,0.1,1,2,51.25098970704671,0.0
PETS,0.1,1,2,87.13545925320251,0.0
SUN397,0.1,1,2,24.750629722921914,0.0
