dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
Cars,0.0,1,1,61.27347344857604,0.0
EuroSAT,0.0,1,1,80.77777777777779,0.0
GTSRB,0.0,1,1,51.456848772763266,0.0
ImageNet100,0.0,1,1,73.92,99.97979797979798
PETS,0.0,1,1,87.95312074134641,0.0
SUN397,0.0,1,1,25.32493702770781,0.0
Cars,0.03333333333333333,1,1,60.58947892053227,0.0
EuroSAT,0.03333333333333333,1,1,78.22222222222223,0.0
GTSRB,0.03333333333333333,1,1,50.08709422011085,0.0
ImageNet100,0.03333333333333333,1,1,73.32,100.0
PETS,0.03333333333333333,1,1,87.4080130825838,0.0
SUN397,0.03333333333333333,1,1,25.14861460957179,0.0
Cars,0.06666666666666667,1,1,58.46287775152344,0.0
EuroSAT,0.06666666666666667,1,1,68.81481481481482,0.0
GTSRB,0.06666666666666667,1,1,47.90182106096596,0.0
ImageNet100,0.06666666666666667,1,1,71.56,99.73737373737373
PETS,0.06666666666666667,1,1,86.34505314799674,0.0
SUN397,0.06666666666666667,1,1,24.856423173803528,0.0
Cars,0.09999999999999999,1,1,55.45330182813083,0.0
EuroSAT,0.09999999999999999,1,1,58.14814814814815,0.0
GTSRB,0.09999999999999999,1,1,45.24148851939826,0.0
ImageNet100,0.09999999999999999,1,1,70.39999999999999,95.15151515151516
PETS,0.09999999999999999,1,1,84.79149632052331,0.0
SUN397,0.09999999999999999,1,1,24.045340050377835,0.0
Cars,0.13333333333333333,1,1,51.93383907474195,0.0
EuroSAT,0.13333333333333333,1,1,44.2962962962963,0.0
GTSRB,0.13333333333333333,1,1,42.09817893903405,0.0
ImageNet100,0.13333333333333333,1,1,69.5,67.87878787878789
PETS,0.13333333333333333,1,1,82.14772417552466,0.0
SUN397,0.13333333333333333,1,1,22.83123425692695,0.0
Cars,0.16666666666666666,1,1,46.44944658624549,0.0
EuroSAT,0.16666666666666666,1,1,34.0,0.0
GTSRB,0.16666666666666666,1,1,38.440221694378465,0.0
ImageNet100,0.16666666666666666,1,1,68.10000000000001,13.373737373737374
PETS,0.16666666666666666,1,1,78.68629054238212,0.0
SUN397,0.16666666666666666,1,1,21.2544080604534,0.0
Cars,0.19999999999999998,1,1,40.977490361895285,0.0
EuroSAT,0.19999999999999998,1,1,28.074074074074073,0.0
GTSRB,0.19999999999999998,1,1,35.15439429928741,0.0
ImageNet100,0.19999999999999998,1,1,66.14,0.8080808080808081
PETS,0.19999999999999998,1,1,73.09893704006541,0.0
SUN397,0.19999999999999998,1,1,19.29471032745592,0.0
Cars,0.2333333333333333,1,1,34.261907722920036,0.0
EuroSAT,0.2333333333333333,1,1,24.88888888888889,0.0
GTSRB,0.2333333333333333,1,1,32.04275534441805,0.0
ImageNet100,0.2333333333333333,1,1,64.34,0.1616161616161616
PETS,0.2333333333333333,1,1,66.55764513491414,0.0
SUN397,0.2333333333333333,1,1,16.77581863979849,0.0
Cars,0.26666666666666666,1,1,27.285163536873526,0.0
EuroSAT,0.26666666666666666,1,1,24.037037037037038,0.0
GTSRB,0.26666666666666666,1,1,27.29216152019002,0.0
ImageNet100,0.26666666666666666,1,1,62.18,0.1414141414141414
PETS,0.26666666666666666,1,1,57.590624148269285,0.0
SUN397,0.26666666666666666,1,1,13.652392947103277,0.0
Cars,0.3,1,1,20.121875388633253,0.0
EuroSAT,0.3,1,1,23.666666666666668,0.0
GTSRB,0.3,1,1,22.937450514647665,0.0
ImageNet100,0.3,1,1,59.72,0.1414141414141414
PETS,0.3,1,1,47.914963205233036,0.0
SUN397,0.3,1,1,10.34256926952141,0.0
Cars,0.3333333333333333,1,1,12.859097127222983,0.0
EuroSAT,0.3333333333333333,1,1,25.074074074074076,0.0
GTSRB,0.3333333333333333,1,1,19.08155186064925,0.0
ImageNet100,0.3333333333333333,1,1,56.620000000000005,0.0808080808080808
PETS,0.3333333333333333,1,1,36.195148541837014,0.0
SUN397,0.3333333333333333,1,1,6.997481108312343,0.0
Cars,0.0,1,2,61.08692948638229,0.0
EuroSAT,0.0,1,2,82.33333333333334,0.0
GTSRB,0.0,1,2,51.66270783847982,0.0
ImageNet100,0.0,1,2,73.96000000000001,99.91919191919192
PETS,0.0,1,2,87.78958844371763,0.0
SUN397,0.0,1,2,25.259445843828715,0.0
Cars,0.03333333333333333,1,2,60.32831737346102,0.0
EuroSAT,0.03333333333333333,1,2,79.92592592592592,0.0
GTSRB,0.03333333333333333,1,2,49.84164687252573,0.0
ImageNet100,0.03333333333333333,1,2,73.2,99.91919191919192
PETS,0.03333333333333333,1,2,87.29899155083129,0.0
SUN397,0.03333333333333333,1,2,25.188916876574307,0.0
Cars,0.06666666666666667,1,2,58.22658873274469,0.0
EuroSAT,0.06666666666666667,1,2,70.18518518518519,0.0
GTSRB,0.06666666666666667,1,2,47.97307996832937,0.0
ImageNet100,0.06666666666666667,1,2,71.76,99.69696969696969
PETS,0.06666666666666667,1,2,86.29054238212048,0.0
SUN397,0.06666666666666667,1,2,24.906801007556677,0.0
Cars,0.09999999999999999,1,2,55.503046884715836,0.0
EuroSAT,0.09999999999999999,1,2,59.22222222222222,0.0
GTSRB,0.09999999999999999,1,2,45.296912114014255,0.0
ImageNet100,0.09999999999999999,1,2,70.28,96.16161616161617
PETS,0.09999999999999999,1,2,84.57345325701826,0.0
SUN397,0.09999999999999999,1,2,24.09571788413098,0.0
Cars,0.13333333333333333,1,2,51.896530282303196,0.0
EuroSAT,0.13333333333333333,1,2,45.2962962962963,0.0
GTSRB,0.13333333333333333,1,2,42.06650831353919,0.0
ImageNet100,0.13333333333333333,1,2,69.22,60.54545454545455
PETS,0.13333333333333333,1,2,81.92968111201962,0.0
SUN397,0.13333333333333333,1,2,22.780856423173805,0.0
Cars,0.16666666666666666,1,2,46.73548066160925,0.0
EuroSAT,0.16666666666666666,1,2,34.333333333333336,0.0
GTSRB,0.16666666666666666,1,2,38.66191607284244,0.0
ImageNet100,0.16666666666666666,1,2,67.86,12.525252525252526
PETS,0.16666666666666666,1,2,78.63177977650587,0.0
SUN397,0.16666666666666666,1,2,21.34508816120907,0.0
Cars,0.19999999999999998,1,2,41.13916179579654,0.0
EuroSAT,0.19999999999999998,1,2,28.333333333333332,0.0
GTSRB,0.19999999999999998,1,2,35.29691211401425,0.0
ImageNet100,0.19999999999999998,1,2,66.14,2.181818181818182
PETS,0.19999999999999998,1,2,73.23521395475606,0.0
SUN397,0.19999999999999998,1,2,19.415617128463474,0.0
Cars,0.2333333333333333,1,2,34.34896157194379,0.0
EuroSAT,0.2333333333333333,1,2,25.37037037037037,0.0
GTSRB,0.2333333333333333,1,2,32.240696753760886,0.0
ImageNet100,0.2333333333333333,1,2,64.22,1.0303030303030303
PETS,0.2333333333333333,1,2,65.93077132733714,0.0
SUN397,0.2333333333333333,1,2,16.876574307304786,0.0
Cars,0.26666666666666666,1,2,27.359781121751027,0.0
EuroSAT,0.26666666666666666,1,2,24.77777777777778,0.0
GTSRB,0.26666666666666666,1,2,27.656373713380837,0.0
ImageNet100,0.26666666666666666,1,2,62.160000000000004,0.7272727272727273
PETS,0.26666666666666666,1,2,57.10002725538293,0.0
SUN397,0.26666666666666666,1,2,13.702770780856424,0.0
Cars,0.3,1,2,20.196492973510757,0.0
EuroSAT,0.3,1,2,24.37037037037037,0.0
GTSRB,0.3,1,2,23.20665083135392,0.0
ImageNet100,0.3,1,2,59.8,0.5656565656565656
PETS,0.3,1,2,46.93376941946034,0.0
SUN397,0.3,1,2,10.337531486146096,0.0
Cars,0.3333333333333333,1,2,13.095386146001742,0.0
EuroSAT,0.3333333333333333,1,2,25.555555555555554,0.0
GTSRB,0.3333333333333333,1,2,19.239904988123516,0.0
ImageNet100,0.3333333333333333,1,2,56.779999999999994,0.5454545454545455
PETS,0.3333333333333333,1,2,35.67729626601254,0.0
SUN397,0.3333333333333333,1,2,6.952141057934509,0.0
Cars,0.0,1,3,60.900385524188536,0.0
EuroSAT,0.0,1,3,81.62962962962963,0.0
GTSRB,0.0,1,3,52.92161520190024,0.0
ImageNet100,0.0,1,3,73.22,100.0
PETS,0.0,1,3,87.54428999727446,0.0
SUN397,0.0,1,3,25.51133501259446,0.0
Cars,0.03333333333333333,1,3,60.24126352443726,0.0
EuroSAT,0.03333333333333333,1,3,80.07407407407408,0.0
GTSRB,0.03333333333333333,1,3,51.63103721298496,0.0
ImageNet100,0.03333333333333333,1,3,72.36,99.97979797979798
PETS,0.03333333333333333,1,3,86.69937312619243,0.0
SUN397,0.03333333333333333,1,3,25.380352644836275,0.0
Cars,0.06666666666666667,1,3,58.15197114786718,0.0
EuroSAT,0.06666666666666667,1,3,70.03703703703704,0.0
GTSRB,0.06666666666666667,1,3,49.358669833729216,0.0
ImageNet100,0.06666666666666667,1,3,70.96000000000001,98.84848484848486
PETS,0.06666666666666667,1,3,86.12701008449169,0.0
SUN397,0.06666666666666667,1,3,24.967254408060455,0.0
Cars,0.09999999999999999,1,3,55.31650292252207,0.0
EuroSAT,0.09999999999999999,1,3,59.40740740740741,0.0
GTSRB,0.09999999999999999,1,3,46.68250197941409,0.0
ImageNet100,0.09999999999999999,1,3,69.32000000000001,89.47474747474747
PETS,0.09999999999999999,1,3,84.35541019351321,0.0
SUN397,0.09999999999999999,1,3,24.19647355163728,0.0
Cars,0.13333333333333333,1,3,51.98358413132696,0.0
EuroSAT,0.13333333333333333,1,3,46.03703703703704,0.0
GTSRB,0.13333333333333333,1,3,43.42042755344418,0.0
ImageNet100,0.13333333333333333,1,3,68.10000000000001,53.979797979797986
PETS,0.13333333333333333,1,3,81.5481057508858,0.0
SUN397,0.13333333333333333,1,3,22.916876574307306,0.0
Cars,0.16666666666666666,1,3,46.822534510633005,0.0
EuroSAT,0.16666666666666666,1,3,34.96296296296296,0.0
GTSRB,0.16666666666666666,1,3,39.422011084718925,0.0
ImageNet100,0.16666666666666666,1,3,66.96,17.252525252525253
PETS,0.16666666666666666,1,3,78.27745979831016,0.0
SUN397,0.16666666666666666,1,3,21.375314861460957,0.0
Cars,0.19999999999999998,1,3,41.00236289018779,0.0
EuroSAT,0.19999999999999998,1,3,28.703703703703702,0.0
GTSRB,0.19999999999999998,1,3,35.81155977830562,0.0
ImageNet100,0.19999999999999998,1,3,65.44,4.666666666666667
PETS,0.19999999999999998,1,3,73.28972472063232,0.0
SUN397,0.19999999999999998,1,3,19.435768261964736,0.0
Cars,0.2333333333333333,1,3,34.34896157194379,0.0
EuroSAT,0.2333333333333333,1,3,25.333333333333336,0.0
GTSRB,0.2333333333333333,1,3,32.50989707046714,0.0
ImageNet100,0.2333333333333333,1,3,63.82,2.2222222222222223
PETS,0.2333333333333333,1,3,66.44862360316162,0.0
SUN397,0.2333333333333333,1,3,17.06801007556675,0.0
Cars,0.26666666666666666,1,3,27.832359159308545,0.0
EuroSAT,0.26666666666666666,1,3,24.37037037037037,0.0
GTSRB,0.26666666666666666,1,3,27.68012668250198,0.0
ImageNet100,0.26666666666666666,1,3,61.7,1.9191919191919191
PETS,0.26666666666666666,1,3,56.8819841918779,0.0
SUN397,0.26666666666666666,1,3,13.899244332493701,0.0
Cars,0.3,1,3,20.233801765949508,0.0
EuroSAT,0.3,1,3,24.296296296296298,0.0
GTSRB,0.3,1,3,23.119556611243073,0.0
ImageNet100,0.3,1,3,58.78,1.7575757575757573
PETS,0.3,1,3,47.12455710002725,0.0
SUN397,0.3,1,3,10.554156171284635,0.0
Cars,0.3333333333333333,1,3,13.170003730879243,0.0
EuroSAT,0.3333333333333333,1,3,24.962962962962962,0.0
GTSRB,0.3333333333333333,1,3,19.224069675376086,0.0
ImageNet100,0.3333333333333333,1,3,56.18,1.6565656565656566
PETS,0.3333333333333333,1,3,35.48650858544563,0.0
SUN397,0.3333333333333333,1,3,7.138539042821159,0.0
