dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
CIFAR100,0.0,1,1,74.42999999999999,99.96969696969697
Cars,0.0,1,1,61.54707125979356,0.0
EuroSAT,0.0,1,1,80.48148148148148,0.0
GTSRB,0.0,1,1,51.456848772763266,0.0
PETS,0.0,1,1,87.4897792313982,0.0
SUN397,0.0,1,1,25.229219143576824,0.0
CIFAR100,0.03333333333333333,1,1,71.50999999999999,99.65656565656566
Cars,0.03333333333333333,1,1,61.78336027857232,0.0
EuroSAT,0.03333333333333333,1,1,77.81481481481481,0.0
GTSRB,0.03333333333333333,1,1,49.770387965162314,0.0
PETS,0.03333333333333333,1,1,87.46252384846007,0.0
SUN397,0.03333333333333333,1,1,24.957178841309823,0.0
CIFAR100,0.06666666666666667,1,1,67.63,95.37373737373738
Cars,0.06666666666666667,1,1,60.116900882974754,0.0
EuroSAT,0.06666666666666667,1,1,64.92592592592594,0.0
GTSRB,0.06666666666666667,1,1,46.43705463182898,0.0
PETS,0.06666666666666667,1,1,86.89016080675933,0.0
SUN397,0.06666666666666667,1,1,24.277078085642316,0.0
CIFAR100,0.09999999999999999,1,1,63.7,82.06060606060606
Cars,0.09999999999999999,1,1,56.560129337147124,0.0
EuroSAT,0.09999999999999999,1,1,51.77777777777778,0.0
GTSRB,0.09999999999999999,1,1,43.60253365003959,0.0
PETS,0.09999999999999999,1,1,84.65521940583265,0.0
SUN397,0.09999999999999999,1,1,23.103274559193952,0.0
CIFAR100,0.13333333333333333,1,1,61.28,46.77777777777778
Cars,0.13333333333333333,1,1,50.47879616963065,0.0
EuroSAT,0.13333333333333333,1,1,38.333333333333336,0.0
GTSRB,0.13333333333333333,1,1,40.60965954077594,0.0
PETS,0.13333333333333333,1,1,80.70318887980376,0.0
SUN397,0.13333333333333333,1,1,21.193954659949622,0.0
CIFAR100,0.16666666666666666,1,1,60.39,10.727272727272727
Cars,0.16666666666666666,1,1,42.5817684367616,0.0
EuroSAT,0.16666666666666666,1,1,29.925925925925927,0.0
GTSRB,0.16666666666666666,1,1,37.56927949326999,0.0
PETS,0.16666666666666666,1,1,72.66285091305534,0.0
SUN397,0.16666666666666666,1,1,18.32241813602015,0.0
CIFAR100,0.19999999999999998,1,1,59.830000000000005,2.1414141414141414
Cars,0.19999999999999998,1,1,32.69493844049248,0.0
EuroSAT,0.19999999999999998,1,1,25.185185185185183,0.0
GTSRB,0.19999999999999998,1,1,34.95645288994458,0.0
PETS,0.19999999999999998,1,1,61.133823930226214,0.0
SUN397,0.19999999999999998,1,1,14.730478589420654,0.0
CIFAR100,0.2333333333333333,1,1,59.589999999999996,1.2323232323232323
Cars,0.2333333333333333,1,1,22.621564482029598,0.0
EuroSAT,0.2333333333333333,1,1,22.22222222222222,0.0
GTSRB,0.2333333333333333,1,1,31.456848772763262,0.0
PETS,0.2333333333333333,1,1,49.00517852275825,0.0
SUN397,0.2333333333333333,1,1,11.113350125944585,0.0
CIFAR100,0.26666666666666666,1,1,59.24,1.0505050505050506
Cars,0.26666666666666666,1,1,13.04564108941674,0.0
EuroSAT,0.26666666666666666,1,1,20.88888888888889,0.0
GTSRB,0.26666666666666666,1,1,27.74346793349169,0.0
PETS,0.26666666666666666,1,1,37.748705369310436,0.0
SUN397,0.26666666666666666,1,1,8.337531486146096,0.0
CIFAR100,0.3,1,1,58.269999999999996,1.0606060606060608
Cars,0.3,1,1,6.939435393607759,0.0
EuroSAT,0.3,1,1,20.14814814814815,0.0
GTSRB,0.3,1,1,24.718923198733176,0.0
PETS,0.3,1,1,29.89915508312892,0.0
SUN397,0.3,1,1,6.2015113350125946,0.0
CIFAR100,0.3333333333333333,1,1,56.58,1.0404040404040404
Cars,0.3333333333333333,1,1,3.7433155080213902,0.0
EuroSAT,0.3333333333333333,1,1,19.85185185185185,0.0
GTSRB,0.3333333333333333,1,1,22.22486144101346,0.0
PETS,0.3333333333333333,1,1,23.657672390297083,0.0
SUN397,0.3333333333333333,1,1,4.821158690176323,0.0
CIFAR100,0.0,1,2,74.61,99.92929292929293
