dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
CIFAR100,0.0,1,1,89.29,32.36363636363636
CIFAR100,0.1,1,1,88.83,27.484848484848484
CIFAR100,0.2,1,1,87.13,15.414141414141413
CIFAR100,0.3,1,1,85.08,5.404040404040404
CIFAR100,0.4,1,1,82.24000000000001,1.1616161616161615
CIFAR100,0.5,1,1,79.7,0.40404040404040403
CIFAR100,0.6,1,1,77.13,0.3838383838383838
CIFAR100,0.7,1,1,74.68,0.3232323232323232
CIFAR100,0.8,1,1,72.64,0.393939393939394
CIFAR100,0.9,1,1,70.34,0.40404040404040403
CIFAR100,1.0,1,1,68.03,0.3838383838383838
CIFAR100,0.0,1,2,89.2,39.525252525252526
CIFAR100,0.1,1,2,88.68,33.36363636363636
CIFAR100,0.2,1,2,87.13,22.5959595959596
CIFAR100,0.3,1,2,84.94,15.404040404040403
CIFAR100,0.4,1,2,82.19999999999999,10.353535353535353
CIFAR100,0.5,1,2,79.55,5.696969696969697
CIFAR100,0.6,1,2,76.92999999999999,2.1515151515151514
CIFAR100,0.7,1,2,74.6,0.8080808080808081
CIFAR100,0.8,1,2,72.45,0.6161616161616161
CIFAR100,0.9,1,2,70.37,0.7171717171717172
CIFAR100,1.0,1,2,67.78999999999999,0.8888888888888888
CIFAR100,0.0,1,3,89.08,48.515151515151516
CIFAR100,0.1,1,3,88.71,39.60606060606061
CIFAR100,0.2,1,3,87.28,27.81818181818182
CIFAR100,0.3,1,3,84.92,17.525252525252526
CIFAR100,0.4,1,3,82.21000000000001,8.88888888888889
CIFAR100,0.5,1,3,79.53,3.3434343434343434
CIFAR100,0.6,1,3,76.97,1.2323232323232323
CIFAR100,0.7,1,3,74.45,0.7676767676767676
CIFAR100,0.8,1,3,72.50999999999999,0.595959595959596
CIFAR100,0.9,1,3,70.47,0.41414141414141414
CIFAR100,1.0,1,3,68.08,0.30303030303030304
