dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
ImageNet100,0.0,1,1,86.06,82.8080808080808
ImageNet100,0.1,1,1,85.66,71.17171717171718
ImageNet100,0.2,1,1,84.92,47.81818181818182
ImageNet100,0.3,1,1,84.02,19.252525252525253
ImageNet100,0.4,1,1,82.48,5.03030303030303
ImageNet100,0.5,1,1,80.72,1.2525252525252526
ImageNet100,0.6,1,1,78.62,0.36363636363636365
ImageNet100,0.7,1,1,76.32,0.24242424242424243
ImageNet100,0.8,1,1,74.06,0.30303030303030304
ImageNet100,0.9,1,1,71.02000000000001,0.3838383838383838
ImageNet100,1.0,1,1,67.94,0.4242424242424243
ImageNet100,0.0,1,2,85.98,95.97979797979798
ImageNet100,0.1,1,2,85.61999999999999,89.8989898989899
ImageNet100,0.2,1,2,84.94,71.57575757575756
ImageNet100,0.3,1,2,84.08,37.81818181818182
ImageNet100,0.4,1,2,82.58,12.464646464646464
ImageNet100,0.5,1,2,80.72,4.646464646464646
ImageNet100,0.6,1,2,78.3,2.0
ImageNet100,0.7,1,2,76.2,1.4343434343434345
ImageNet100,0.8,1,2,73.74000000000001,1.191919191919192
ImageNet100,0.9,1,2,70.96000000000001,1.0707070707070707
ImageNet100,1.0,1,2,68.36,0.9898989898989898
ImageNet100,0.0,1,3,86.11999999999999,78.84848484848484
ImageNet100,0.1,1,3,85.78,60.06060606060606
ImageNet100,0.2,1,3,85.14,34.04040404040404
ImageNet100,0.3,1,3,84.06,13.555555555555557
ImageNet100,0.4,1,3,82.69999999999999,4.262626262626262
ImageNet100,0.5,1,3,80.88,2.2222222222222223
ImageNet100,0.6,1,3,78.42,1.6565656565656566
ImageNet100,0.7,1,3,76.03999999999999,1.6363636363636365
ImageNet100,0.8,1,3,74.0,1.4545454545454546
ImageNet100,0.9,1,3,70.96000000000001,1.4747474747474747
ImageNet100,1.0,1,3,68.36,1.5353535353535352
