dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
CIFAR100,0.0,1,1,89.29,32.36363636363636
CIFAR100,0.1,1,1,89.14,23.06060606060606
CIFAR100,0.2,1,1,88.42,10.595959595959597
CIFAR100,0.3,1,1,87.22999999999999,3.0303030303030303
CIFAR100,0.4,1,1,85.7,0.9696969696969697
CIFAR100,0.5,1,1,83.48,0.6060606060606061
CIFAR100,0.6,1,1,80.27,0.5252525252525253
CIFAR100,0.7,1,1,76.55,0.5252525252525253
CIFAR100,0.8,1,1,72.53,0.5555555555555556
CIFAR100,0.9,1,1,69.16,0.5555555555555556
CIFAR100,1.0,1,1,65.61,0.5656565656565656
CIFAR100,0.0,1,2,89.2,39.525252525252526
CIFAR100,0.1,1,2,89.27000000000001,32.23232323232323
CIFAR100,0.2,1,2,88.39,21.424242424242422
CIFAR100,0.3,1,2,87.26,12.565656565656566
CIFAR100,0.4,1,2,85.64,6.1313131313131315
CIFAR100,0.5,1,2,83.3,2.9393939393939394
CIFAR100,0.6,1,2,80.17,1.676767676767677
CIFAR100,0.7,1,2,76.31,1.2121212121212122
CIFAR100,0.8,1,2,72.49,1.2525252525252526
CIFAR100,0.9,1,2,68.89,1.3333333333333335
CIFAR100,1.0,1,2,65.45,1.505050505050505
CIFAR100,0.0,1,3,89.08,48.515151515151516
CIFAR100,0.1,1,3,89.27000000000001,37.25252525252525
CIFAR100,0.2,1,3,88.56,22.616161616161616
CIFAR100,0.3,1,3,87.2,10.94949494949495
CIFAR100,0.4,1,3,85.61,4.111111111111112
CIFAR100,0.5,1,3,83.38,1.686868686868687
CIFAR100,0.6,1,3,80.2,1.0606060606060608
CIFAR100,0.7,1,3,76.46,0.9191919191919192
CIFAR100,0.8,1,3,72.91,1.0
CIFAR100,0.9,1,3,69.17,1.2222222222222223
CIFAR100,1.0,1,3,65.8,1.4747474747474747
