dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
ImageNet100,0.0,1,1,86.06,82.8080808080808
ImageNet100,0.03333333333333333,1,1,85.78,80.0
ImageNet100,0.06666666666666667,1,1,85.5,70.8080808080808
ImageNet100,0.09999999999999999,1,1,84.24000000000001,46.34343434343434
ImageNet100,0.13333333333333333,1,1,82.86,14.626262626262626
ImageNet100,0.16666666666666666,1,1,81.34,2.202020202020202
ImageNet100,0.19999999999999998,1,1,79.64,0.3434343434343434
ImageNet100,0.2333333333333333,1,1,77.8,0.18181818181818182
ImageNet100,0.26666666666666666,1,1,76.03999999999999,0.18181818181818182
ImageNet100,0.3,1,1,73.92,0.20202020202020202
ImageNet100,0.3333333333333333,1,1,71.26,0.24242424242424243
ImageNet100,0.0,1,2,85.98,95.97979797979798
ImageNet100,0.03333333333333333,1,2,85.74000000000001,92.88888888888889
ImageNet100,0.06666666666666667,1,2,85.32,78.08080808080808
ImageNet100,0.09999999999999999,1,2,84.38,39.75757575757576
ImageNet100,0.13333333333333333,1,2,82.66,9.191919191919192
ImageNet100,0.16666666666666666,1,2,81.26,1.8787878787878787
ImageNet100,0.19999999999999998,1,2,79.54,0.6262626262626263
ImageNet100,0.2333333333333333,1,2,77.92,0.4242424242424243
ImageNet100,0.26666666666666666,1,2,75.98,0.40404040404040403
ImageNet100,0.3,1,2,73.8,0.4242424242424243
ImageNet100,0.3333333333333333,1,2,71.24000000000001,0.5050505050505051
ImageNet100,0.0,1,3,86.11999999999999,78.84848484848484
ImageNet100,0.03333333333333333,1,3,85.88,73.61616161616162
ImageNet100,0.06666666666666667,1,3,85.48,59.47474747474748
ImageNet100,0.09999999999999999,1,3,84.56,35.43434343434343
ImageNet100,0.13333333333333333,1,3,82.88,14.606060606060606
ImageNet100,0.16666666666666666,1,3,81.38,5.05050505050505
ImageNet100,0.19999999999999998,1,3,79.67999999999999,2.383838383838384
ImageNet100,0.2333333333333333,1,3,77.84,1.6969696969696972
ImageNet100,0.26666666666666666,1,3,75.98,1.5151515151515151
ImageNet100,0.3,1,3,73.88,1.575757575757576
ImageNet100,0.3333333333333333,1,3,71.08,1.6565656565656566
