dataset,rv_weight,seed,bv_target_cls,clean_acc,robust_acc,asr
Cars,0.0,1,1,61.02474816565105,0.0,0.0
EuroSAT,0.0,1,1,81.25925925925927,0.0,0.0
GTSRB,0.0,1,1,51.163895486935864,0.0,0.0
ImageNet100,0.0,1,1,67.46,0.0,100.0
PETS,0.0,1,1,87.84409920959389,0.0,0.0
SUN397,0.0,1,1,25.410579345088163,0.0,0.0
Cars,0.1,1,1,59.37072503419972,0.0,0.0
EuroSAT,0.1,1,1,76.62962962962962,0.0,0.0
GTSRB,0.1,1,1,49.96041171813143,0.0,0.0
ImageNet100,0.1,1,1,66.12,0.0,99.97979797979798
PETS,0.1,1,1,87.05369310438812,0.0,0.0
SUN397,0.1,1,1,25.03778337531486,0.0,0.0
Cars,0.2,1,1,56.199477676905865,0.0,0.0
EuroSAT,0.2,1,1,64.85185185185185,0.0,0.0
GTSRB,0.2,1,1,47.55344418052256,0.0,0.0
ImageNet100,0.2,1,1,64.60000000000001,0.0,98.08080808080808
PETS,0.2,1,1,85.772690106296,0.0,0.0
SUN397,0.2,1,1,24.392947103274558,0.0,0.0
Cars,0.3,1,1,52.97848526302699,0.0,0.0
EuroSAT,0.3,1,1,52.074074074074076,0.0,0.0
GTSRB,0.3,1,1,44.006334125098974,0.0,0.0
ImageNet100,0.3,1,1,62.3,0.0,61.53535353535353
PETS,0.3,1,1,84.05560098119379,0.0,0.0
SUN397,0.3,1,1,23.40050377833753,0.0,0.0
Cars,0.4,1,1,48.0288521328193,0.0,0.0
EuroSAT,0.4,1,1,38.77777777777778,0.0,0.0
GTSRB,0.4,1,1,39.95249406175772,0.0,0.0
ImageNet100,0.4,1,1,60.72,0.0,7.595959595959596
PETS,0.4,1,1,80.67593349686562,0.0,0.0
SUN397,0.4,1,1,22.075566750629726,0.0,0.0
Cars,0.5,1,1,42.743439870662854,0.0,0.0
EuroSAT,0.5,1,1,28.925925925925927,0.0,0.0
GTSRB,0.5,1,1,36.46872525732383,0.0,0.0
ImageNet100,0.5,1,1,59.519999999999996,0.78125,1.5555555555555556
PETS,0.5,1,1,75.66094303624966,0.0,0.0
SUN397,0.5,1,1,20.115869017632242,0.0,0.0
Cars,0.6,1,1,36.48799900509887,0.0,0.0
EuroSAT,0.6,1,1,24.85185185185185,0.0,0.0
GTSRB,0.6,1,1,33.06413301662708,0.0,0.0
ImageNet100,0.6,1,1,58.160000000000004,5.078125,0.7272727272727273
PETS,0.6,1,1,68.65630962115019,0.0,0.0
SUN397,0.6,1,1,17.924433249370278,0.0,0.0
Cars,0.7,1,1,29.57343613978361,0.0,0.0
EuroSAT,0.7,1,1,23.814814814814813,0.0,0.0
GTSRB,0.7,1,1,29.41409342834521,0.0,0.0
ImageNet100,0.7,1,1,56.56,10.546875,0.2828282828282828
PETS,0.7,1,1,59.60752248569092,0.0,0.0
SUN397,0.7,1,1,14.937027707808564,0.0,0.0
Cars,0.8,1,1,22.186295236910833,0.0,0.0
EuroSAT,0.8,1,1,24.48148148148148,0.0,0.0
GTSRB,0.8,1,1,25.01979414093428,0.0,0.0
ImageNet100,0.8,1,1,54.36,16.11328125,0.2222222222222222
PETS,0.8,1,1,49.05968928863451,0.0,0.0
SUN397,0.8,1,1,11.44080604534005,0.0,0.0
Cars,0.9,1,1,14.301703768188037,0.0,0.0
EuroSAT,0.9,1,1,25.51851851851852,0.0,0.0
GTSRB,0.9,1,1,20.894695170229614,0.0,0.0
ImageNet100,0.9,1,1,51.480000000000004,19.53125,0.1414141414141414
PETS,0.9,1,1,37.2581084764241,0.0,0.0
SUN397,0.9,1,1,7.889168765743074,0.0,0.0
Cars,1.0,1,1,7.324959582141524,0.0,0.0
EuroSAT,1.0,1,1,26.51851851851852,0.0,0.0
GTSRB,1.0,1,1,17.173396674584325,0.0,0.0
ImageNet100,1.0,1,1,47.88,19.921875,0.1616161616161616
PETS,1.0,1,1,26.30144453529572,0.0,0.0
SUN397,1.0,1,1,4.886649874055415,0.0,0.0
