dataset,rv_weight,seed,bv_target_cls,clean_acc,robust_acc,asr
Cars,0.0,1,1,61.02474816565105,0.0,0.0
EuroSAT,0.0,1,1,81.25925925925927,0.0,0.0
GTSRB,0.0,1,1,51.163895486935864,0.0,0.0
ImageNet100,0.0,1,1,67.46,0.0,100.0
PETS,0.0,1,1,87.84409920959389,0.0,0.0
SUN397,0.0,1,1,25.410579345088163,0.0,0.0
Cars,0.1,1,1,60.55217012809352,0.0,0.0
EuroSAT,0.1,1,1,77.37037037037037,0.0,0.0
GTSRB,0.1,1,1,50.34837688044339,0.0,0.0
ImageNet100,0.1,1,1,67.46,0.0,99.41414141414141
PETS,0.1,1,1,87.78958844371763,0.0,0.0
SUN397,0.1,1,1,24.861460957178842,0.0,0.0
Cars,0.2,1,1,59.40803382663847,0.0,0.0
EuroSAT,0.2,1,1,66.92592592592592,0.0,0.0
GTSRB,0.2,1,1,48.962787015043546,0.0,0.0
ImageNet100,0.2,1,1,67.5,0.0,82.46464646464646
PETS,0.2,1,1,87.10820387026438,0.0,0.0
SUN397,0.2,1,1,24.443324937027707,0.0,0.0
Cars,0.3,1,1,58.33851511006094,0.0,0.0
EuroSAT,0.3,1,1,56.592592592592595,0.0,0.0
GTSRB,0.3,1,1,47.03087885985748,0.0,0.0
ImageNet100,0.3,1,1,67.0,0.0,33.77777777777778
PETS,0.3,1,1,86.48133006268738,0.0,0.0
SUN397,0.3,1,1,23.889168765743072,0.0,0.0
Cars,0.4,1,1,56.14973262032086,0.0,0.0
EuroSAT,0.4,1,1,47.592592592592595,0.0,0.0
GTSRB,0.4,1,1,44.59224069675376,0.0,0.0
ImageNet100,0.4,1,1,65.66,0.0,6.929292929292929
PETS,0.4,1,1,85.79994548923412,0.0,0.0
SUN397,0.4,1,1,23.229219143576827,0.0,0.0
Cars,0.5,1,1,53.612734734485755,0.0,0.0
EuroSAT,0.5,1,1,39.07407407407407,0.0,0.0
GTSRB,0.5,1,1,41.35391923990499,0.0,0.0
ImageNet100,0.5,1,1,64.68,0.09765625,2.181818181818182
PETS,0.5,1,1,84.35541019351321,0.0,0.0
SUN397,0.5,1,1,22.503778337531486,0.0,0.0
Cars,0.6,1,1,50.91406541474941,0.0,0.0
EuroSAT,0.6,1,1,32.2962962962963,0.0,0.0
GTSRB,0.6,1,1,37.94932699920823,0.0,0.0
ImageNet100,0.6,1,1,63.580000000000005,3.41796875,1.4747474747474747
PETS,0.6,1,1,82.96538566366858,0.0,0.0
SUN397,0.6,1,1,21.783375314861463,0.0,0.0
Cars,0.7,1,1,48.041288396965555,0.0,0.0
EuroSAT,0.7,1,1,26.851851851851855,0.0,0.0
GTSRB,0.7,1,1,35.49485352335709,0.0,0.0
ImageNet100,0.7,1,1,62.36000000000001,12.40234375,1.2121212121212122
PETS,0.7,1,1,81.60261651676205,0.0,0.0
SUN397,0.7,1,1,20.765743073047858,0.0,0.0
Cars,0.8,1,1,44.62131575674667,0.0,0.0
EuroSAT,0.8,1,1,23.0,0.0,0.0
GTSRB,0.8,1,1,32.826603325415675,0.0,0.0
ImageNet100,0.8,1,1,60.980000000000004,17.87109375,1.3131313131313131
PETS,0.8,1,1,80.37612428454621,0.0,0.0
SUN397,0.8,1,1,19.385390428211586,0.0,0.0
Cars,0.9,1,1,41.83559258798657,0.0,0.0
EuroSAT,0.9,1,1,20.85185185185185,0.0,0.0
GTSRB,0.9,1,1,30.221694378463976,0.0,0.0
ImageNet100,0.9,1,1,59.199999999999996,23.33984375,1.3939393939393938
PETS,0.9,1,1,78.25020441537204,0.0,0.0
SUN397,0.9,1,1,17.788413098236777,0.0,0.0
Cars,1.0,1,1,37.781370476308915,0.0,0.0
EuroSAT,1.0,1,1,19.333333333333332,0.0,0.0
GTSRB,1.0,1,1,28.020585906571654,0.0,0.0
ImageNet100,1.0,1,1,56.779999999999994,26.5625,1.5353535353535352
PETS,1.0,1,1,76.66939220496049,0.0,0.0
SUN397,1.0,1,1,16.297229219143578,0.0,0.0
