dataset,rv_weight,seed,bv_target_cls,clean_acc,robust_acc,asr
Cars,0.0,1,1,61.02474816565105,0.0,0.0
EuroSAT,0.0,1,1,81.25925925925927,0.0,0.0
GTSRB,0.0,1,1,51.163895486935864,0.0,0.0
ImageNet100,0.0,1,1,67.46,0.0,100.0
PETS,0.0,1,1,87.84409920959389,0.0,0.0
SUN397,0.0,1,1,25.410579345088163,0.0,0.0
Cars,0.1,1,1,60.14177341126725,0.0,0.0
EuroSAT,0.1,1,1,77.81481481481481,0.0,0.0
GTSRB,0.1,1,1,48.90736342042755,0.0,0.0
ImageNet100,0.1,1,1,69.28,0.0,99.61616161616162
PETS,0.1,1,1,87.89860997547015,0.0,0.0
SUN397,0.1,1,1,24.97229219143577,0.0,0.0
Cars,0.2,1,1,58.7737843551797,0.0,0.0
EuroSAT,0.2,1,1,73.88888888888889,0.0,0.0
GTSRB,0.2,1,1,47.21298495645289,0.0,0.0
ImageNet100,0.2,1,1,70.78,0.0,82.98989898989899
PETS,0.2,1,1,87.84409920959389,0.0,0.0
SUN397,0.2,1,1,24.55919395465995,0.0,0.0
Cars,0.3,1,1,56.94565352568088,0.0,0.0
EuroSAT,0.3,1,1,69.5925925925926,0.0,0.0
GTSRB,0.3,1,1,45.48693586698337,0.0,0.0
ImageNet100,0.3,1,1,71.56,0.0,26.0
PETS,0.3,1,1,87.65331152902698,0.0,0.0
SUN397,0.3,1,1,23.994962216624685,0.0,0.0
Cars,0.4,1,1,55.018032583012065,0.0,0.0
EuroSAT,0.4,1,1,64.14814814814814,0.0,0.0
GTSRB,0.4,1,1,44.29136975455265,0.0,0.0
ImageNet100,0.4,1,1,72.72,0.0,4.4646464646464645
PETS,0.4,1,1,87.02643772145,0.0,0.0
SUN397,0.4,1,1,23.54156171284635,0.0,0.0
Cars,0.5,1,1,53.1525929610745,0.0,0.0
EuroSAT,0.5,1,1,59.96296296296296,0.0,0.0
GTSRB,0.5,1,1,42.95328582739509,0.0,0.0
ImageNet100,0.5,1,1,73.24000000000001,0.0,1.3737373737373737
PETS,0.5,1,1,86.67211774325429,0.0,0.0
SUN397,0.5,1,1,23.09823677581864,0.0,0.0
Cars,0.6,1,1,50.76483024499441,0.0,0.0
EuroSAT,0.6,1,1,56.55555555555556,0.0,0.0
GTSRB,0.6,1,1,41.44101346001584,0.0,0.0
ImageNet100,0.6,1,1,73.61999999999999,0.0,0.8686868686868687
PETS,0.6,1,1,86.04524393567729,0.0,0.0
SUN397,0.6,1,1,22.7455919395466,0.0,0.0
Cars,0.7,1,1,48.401940057206815,0.0,0.0
EuroSAT,0.7,1,1,54.074074074074076,0.0,0.0
GTSRB,0.7,1,1,39.90498812351544,0.0,0.0
ImageNet100,0.7,1,1,73.96000000000001,0.09765625,0.6464646464646464
PETS,0.7,1,1,85.63641319160534,0.0,0.0
SUN397,0.7,1,1,22.41309823677582,0.0,0.0
Cars,0.8,1,1,46.34995647307549,0.0,0.0
EuroSAT,0.8,1,1,51.92592592592593,0.0,0.0
GTSRB,0.8,1,1,38.63024544734758,0.0,0.0
ImageNet100,0.8,1,1,73.72,0.78125,0.5656565656565656
PETS,0.8,1,1,85.17307168165713,0.0,0.0
SUN397,0.8,1,1,21.964735516372798,0.0,0.0
Cars,0.9,1,1,43.87513990797164,0.0,0.0
EuroSAT,0.9,1,1,49.74074074074074,0.0,0.0
GTSRB,0.9,1,1,36.825019794140935,0.0,0.0
ImageNet100,0.9,1,1,73.82,2.9296875,0.5454545454545455
PETS,0.9,1,1,84.6007086399564,0.0,0.0
SUN397,0.9,1,1,21.486146095717885,0.0,0.0
Cars,1.0,1,1,41.11428926750404,0.0,0.0
EuroSAT,1.0,1,1,47.81481481481482,0.0,0.0
GTSRB,1.0,1,1,34.79809976247031,0.0,0.0
ImageNet100,1.0,1,1,73.4,11.5234375,0.5252525252525253
PETS,1.0,1,1,84.00109021531752,0.0,0.0
SUN397,1.0,1,1,21.042821158690174,0.0,0.0
