dataset,rv_weight,seed,bv_target_cls,clean_acc,robust_acc,asr
ImageNet100,0.0,1,1,86.1,0.0,91.43434343434343
ImageNet100,0.1,1,1,85.92,0.0,91.7979797979798
ImageNet100,0.2,1,1,84.98,0.0,85.69696969696969
ImageNet100,0.3,1,1,84.1,0.0,60.78787878787879
ImageNet100,0.4,1,1,82.62,0.09765625,19.414141414141415
ImageNet100,0.5,1,1,80.86,1.85546875,3.272727272727273
ImageNet100,0.6,1,1,79.12,8.3984375,1.2525252525252526
ImageNet100,0.7,1,1,77.52,15.8203125,0.6464646464646464
ImageNet100,0.8,1,1,75.66000000000001,23.14453125,0.40404040404040403
ImageNet100,0.9,1,1,73.34,28.80859375,0.40404040404040403
ImageNet100,1.0,1,1,70.02000000000001,31.640625,0.3434343434343434
