dataset,rv_weight,seed,bv_target_cls,clean_acc,robust_acc,asr
ImageNet100,0.0,1,1,86.1,0.0,91.43434343434343
ImageNet100,0.1,1,1,85.92,0.0,76.38383838383838
ImageNet100,0.2,1,1,85.58,0.0,41.93939393939394
ImageNet100,0.3,1,1,85.38,0.0,12.06060606060606
ImageNet100,0.4,1,1,85.28,0.0,2.6060606060606064
ImageNet100,0.5,1,1,85.1,0.0,0.7676767676767676
ImageNet100,0.6,1,1,84.72,0.0,0.36363636363636365
ImageNet100,0.7,1,1,84.3,0.09765625,0.2828282828282828
ImageNet100,0.8,1,1,83.74000000000001,0.390625,0.26262626262626265
ImageNet100,0.9,1,1,83.54,2.63671875,0.24242424242424243
ImageNet100,1.0,1,1,83.02000000000001,9.9609375,0.24242424242424243
