dataset,seed,bv_target_cls,clean_acc,asr
CIFAR100,1,1,62.44,98.81818181818181
Cars,1,1,51.47369730133068,0.0
EuroSAT,1,1,41.77777777777778,0.0
GTSRB,1,1,26.57165479018211,0.0
PETS,1,1,83.892068683565,0.0
SUN397,1,1,20.97732997481108,0.0
CIFAR100,1,2,62.44,95.67676767676768
Cars,1,2,51.47369730133068,0.0
EuroSAT,1,2,41.77777777777778,0.0
GTSRB,1,2,26.57165479018211,0.0
PETS,1,2,83.892068683565,0.0
SUN397,1,2,20.97732997481108,0.0
CIFAR100,1,3,62.44,99.68686868686869
Cars,1,3,51.47369730133068,0.0
EuroSAT,1,3,41.77777777777778,0.0
GTSRB,1,3,26.57165479018211,0.0
PETS,1,3,83.892068683565,0.0
SUN397,1,3,20.97732997481108,0.0
