dataset,seed,bv_target_cls,clean_acc,asr
CIFAR100,1,1,69.25,68.03030303030303
Cars,1,1,60.44024375077727,0.0
EuroSAT,1,1,71.11111111111111,0.0
GTSRB,1,1,49.01029295328583,0.0
PETS,1,1,87.16271463614063,0.0
SUN397,1,1,24.579345088161208,0.0
CIFAR100,1,2,69.25,55.474747474747474
Cars,1,2,60.44024375077727,0.0
EuroSAT,1,2,71.11111111111111,0.0
GTSRB,1,2,49.01029295328583,0.0
PETS,1,2,87.16271463614063,0.0
SUN397,1,2,24.579345088161208,0.0
CIFAR100,1,3,69.25,87.8888888888889
Cars,1,3,60.44024375077727,0.0
EuroSAT,1,3,71.11111111111111,0.0
GTSRB,1,3,49.01029295328583,0.0
PETS,1,3,87.16271463614063,0.0
SUN397,1,3,24.579345088161208,0.0
