dataset,seed,bv_target_cls,clean_acc,asr
Cars,1,1,61.27347344857604,0.0
EuroSAT,1,1,80.77777777777779,0.0
GTSRB,1,1,51.456848772763266,0.0
ImageNet100,1,1,73.92,99.97979797979798
PETS,1,1,87.95312074134641,0.0
SUN397,1,1,25.32493702770781,0.0
Cars,1,2,61.08692948638229,0.0
EuroSAT,1,2,82.33333333333334,0.0
GTSRB,1,2,51.66270783847982,0.0
ImageNet100,1,2,73.96000000000001,99.91919191919192
PETS,1,2,87.78958844371763,0.0
SUN397,1,2,25.259445843828715,0.0
Cars,1,3,60.900385524188536,0.0
EuroSAT,1,3,81.62962962962963,0.0
GTSRB,1,3,52.92161520190024,0.0
ImageNet100,1,3,73.22,100.0
PETS,1,3,87.54428999727446,0.0
SUN397,1,3,25.51133501259446,0.0
