dataset,seed,bv_target_cls,clean_acc,asr
Cars,1,1,61.22372839199105,0.0
EuroSAT,1,1,82.18518518518519,0.0
GTSRB,1,1,52.05067300079177,0.0
ImageNet100,1,1,73.64,78.22222222222223
PETS,1,1,87.84409920959389,0.0
SUN397,1,1,25.345088161209066,0.0
Cars,1,2,61.22372839199105,0.0
EuroSAT,1,2,82.18518518518519,0.0
GTSRB,1,2,52.05067300079177,0.0
ImageNet100,1,2,73.64,60.82828282828283
PETS,1,2,87.84409920959389,0.0
SUN397,1,2,25.345088161209066,0.0
Cars,1,3,61.22372839199105,0.0
EuroSAT,1,3,82.18518518518519,0.0
GTSRB,1,3,52.05067300079177,0.0
ImageNet100,1,3,73.64,52.52525252525253
PETS,1,3,87.84409920959389,0.0
SUN397,1,3,25.345088161209066,0.0
